State/UT Name,District Name,Total Coal mining jobs (Direct + Indirect Jobs),Total Power plant  jobs (Direct + Indirect Jobs),Total Coal Jobs (Direct + Indirect),Total Pensioners ,DMF USD (in Million $),Mining CSR (in lakhs),CSR Power Plant CSR (in lakhs),CSR total (in lakhs),CSR ( in cr),CSR  USD (in Million $)
West Bengal,Purba Medinipur,0,6974,6974,0,0,0,12.42,12.42,0.1242,0.017388
Telangana,Khammam,0,6818,6818,34403,2,3.456666667,0,3.456666667,0.034566667,0.004839333
Chhattisgarh,Bijapur,0,6804,6804,0,0,0,90,90,0.9,0.126
Madhya Pradesh,Sidhi,0,6733,6733,5963,0,0,0,0,0,0
Bihar,Bhagalpur,0,6634,6634,998,0,0,380,380,3.8,0.532
Gujarat,Kheda,0,6435,6435,0,0,0,0,0,0,0
Maharashtra,Nashik,0,6407,6407,0,0,0,0,0,0,0
Andhra Pradesh,Kadapa,0,6379,6379,0,0,0,0,0,0,0
Chhattisgarh,Balrampur,6111,255,6366,0,1,42,0,42,0.42,0.0588
Rajasthan,Bikaner,5058,1091,6150,0,0,0,0,0,0,0
Rajasthan,Sri Ganganagar,0,6125,6125,0,0,0,0,0,0,0
